Date,Pension_Type_ID,Count_Paid,Avg_Amount,Count_New
2024-03-01,5,1115298.0,673.11,1998.0
2024-03-01,6,52905.0,309.25,439.0
2024-03-01,7,286744.0,373.85,1291.0
2024-04-01,1,138803.0,302.27,1007.0
2024-04-01,2,79034.0,549.58,446.0
2024-04-01,3,35045.0,758.39,9002.0
2024-04-01,4,20520.0,203.59,306.0
2024-04-01,5,1115164.0,674.84,3009.0
2024-04-01,6,52997.0,309.84,678.0
2024-04-01,7,286852.0,373.67,2053.0
2024-05-01,1,137522.0,302.54,2272.0
2024-05-01,2,78765.0,550.29,883.0
2024-05-01,3,40258.0,756.9,3624.0
2024-05-01,4,19748.0,201.76,441.0
2024-05-01,5,1117144.0,675.87,5564.0
2024-05-01,6,53272.0,309.63,672.0
2024-05-01,7,287454.0,373.81,1799.0
2024-06-01,1,137827.0,303.99,1899.0
2024-06-01,2,79104.0,552.33,788.0
2024-06-01,3,40869.0,753.4,2549.0
2024-06-01,4,19818.0,201.99,363.0
2024-06-01,5,1121502.0,677.98,4210.0
2024-06-01,6,53509.0,310.06,506.0
2024-06-01,7,287936.0,373.92,1299.0
2024-07-01,1,137989.0,304.9,1265.0
2024-07-01,2,79332.0,553.65,572.0
2024-07-01,3,42149.0,747.48,3321.0
2024-07-01,4,17202.0,200.58,266.0
2024-07-01,5,1124218.0,678.64,3218.0
2024-07-01,6,53699.0,310.24,376.0
2024-07-01,7,288139.0,374.29,1002.0
2024-08-01,1,138020.0,305.81,1532.0
2024-08-01,2,79368.0,554.73,634.0
2024-08-01,3,42741.0,742.2,1049.0
2024-08-01,4,17261.0,200.63,231.0
2024-08-01,5,1125907.0,679.32,4072.0
2024-08-01,6,53737.0,310.36,485.0
2024-08-01,7,288015.0,374.34,1349.0
2024-09-01,1,138268.0,306.87,1503.0
2024-09-01,2,79453.0,555.82,631.0
2024-09-01,3,41907.0,740.43,887.0
2024-09-01,4,17248.0,201.6,335.0
2024-09-01,5,1127657.0,680.07,4661.0
2024-09-01,6,53850.0,310.78,636.0
2024-09-01,7,288001.0,374.67,1770.0
2024-10-01,1,138276.0,307.77,1437.0
2024-10-01,2,79475.0,556.58,540.0
2024-10-01,3,40919.0,738.84,926.0
2024-10-01,4,17728.0,203.15,364.0
2024-10-01,5,1129519.0,680.78,4203.0
2024-10-01,6,53993.0,310.91,496.0
2024-10-01,7,288177.0,375.0,1371.0
2024-11-01,1,138507.0,308.52,1289.0
2024-11-01,2,79530.0,557.36,539.0
2024-11-01,3,39909.0,736.12,965.0
2024-11-01,4,18869.0,205.99,314.0
2024-11-01,5,1133049.0,682.67,3575.0
2024-11-01,6,54259.0,311.29,500.0
2024-11-01,7,288877.0,375.23,1371.0
2024-12-01,1,138526.0,309.01,940.0
2024-12-01,2,79449.0,557.78,369.0
2024-12-01,3,39055.0,733.15,768.0
2024-12-01,4,20023.0,207.6,199.0
2024-12-01,5,1134690.0,683.1,2015.0
2024-12-01,6,54352.0,311.82,126.0
2024-12-01,7,289000.0,375.58,365.0
2025-01-01,1,138523.0,315.89,1075.0
2025-01-01,2,79313.0,569.84,420.0
2025-01-01,3,37969.0,746.64,2964.0
2025-01-01,4,20639.0,212.86,243.0
2025-01-01,5,1136638.0,697.82,3362.0
2025-01-01,6,54471.0,319.12,476.0
2025-01-01,7,289151.0,383.55,1343.0
2025-02-01,1,138669.0,316.88,856.0
2025-02-01,2,79071.0,571.19,373.0
2025-02-01,3,39991.0,745.16,4973.0
2025-02-01,4,21268.0,213.74,244.0
2025-02-01,5,1133706.0,698.95,2710.0
2025-02-01,6,54103.0,319.92,339.0
2025-02-01,7,287477.0,383.78,1058.0
2025-03-01,1,138145.0,317.22,1306.0
2025-03-01,2,79202.0,571.9,537.0
2025-03-01,3,42859.0,746.48,1034.0
2025-03-01,4,21470.0,214.05,309.0
2025-03-01,5,1134102.0,699.62,3042.0
2025-03-01,6,54138.0,320.29,668.0
2025-03-01,7,287423.0,383.48,1858.0
2025-04-01,1,138652.0,318.04,1407.0
2025-04-01,2,79453.0,572.86,580.0
2025-04-01,3,42538.0,746.84,500.0
2025-04-01,4,20818.0,212.51,309.0
2025-04-01,5,1134148.0,701.04,3139.0
2025-04-01,6,54434.0,320.49,563.0
2025-04-01,7,287911.0,383.77,1596.0
2025-05-01,1,138906.0,318.78,1375.0
2025-05-01,2,79361.0,573.53,567.0
2025-05-01,3,41303.0,743.98,436.0
2025-05-01,4,19994.0,210.48,382.0
2025-05-01,5,1134810.0,701.34,2675.0
2025-05-01,6,54573.0,321.03,581.0
2025-05-01,7,288050.0,383.96,1459.0
2025-06-01,1,139178.0,319.46,1191.0
2025-06-01,2,79280.0,574.01,470.0
2025-06-01,3,40184.0,741.56,422.0
2025-06-01,4,20221.0,210.97,265.0
2025-06-01,5,1135298.0,701.78,2329.0
2025-06-01,6,54692.0,321.07,501.0
2025-06-01,7,288141.0,384.42,1304.0
2025-07-01,1,139508.0,319.9,1235.0
2025-07-01,2,79178.0,574.09,473.0
2025-07-01,3,38512.0,738.53,501.0
2025-07-01,4,17449.0,210.16,269.0
2025-07-01,5,1136583.0,702.07,2590.0
2025-07-01,6,54838.0,321.69,484.0
2025-07-01,7,288242.0,384.52,1220.0
2025-08-01,1,139757.0,320.49,806.0
2025-08-01,2,79159.0,574.18,307.0
2025-08-01,3,36957.0,735.11,263.0
2025-08-01,4,17563.0,210.19,207.0
2025-08-01,5,1137344.0,702.44,2027.0
2025-08-01,6,54917.0,321.75,329.0
2025-08-01,7,288034.0,384.95,861.0
2025-09-01,1,139866.0,320.7,925.0
2025-09-01,2,78921.0,574.43,369.0
2025-09-01,3,35192.0,731.95,323.0
2025-09-01,4,17791.0,210.8,238.0
2025-09-01,5,1138925.0,702.71,3113.0
2025-09-01,6,54940.0,322.11,387.0
2025-09-01,7,287924.0,385.1,1080.0
2025-10-01,1,139846.0,320.92,1053.0
2025-10-01,2,78742.0,574.44,426.0
2025-10-01,3,33572.0,729.34,347.0
2025-10-01,4,18405.0,212.32,294.0
2025-10-01,5,1140155.0,703.03,3296.0
2025-10-01,6,54930.0,322.57,444.0
2025-10-01,7,287798.0,385.34,1162.0
2025-11-01,1,139948.0,321.03,921.0
2025-11-01,2,78610.0,574.55,378.0
2025-11-01,3,32047.0,727.0,280.0
2025-11-01,4,19461.0,214.19,219.0
2025-11-01,5,1143283.0,703.11,2801.0
2025-11-01,6,55143.0,322.44,323.0
2025-11-01,7,288321.0,385.24,945.0
2025-12-01,1,139980.0,321.15,923.0
2025-12-01,2,78392.0,574.4,378.0
2025-12-01,3,30619.0,724.2,304.0
2025-12-01,4,20246.0,215.14,199.0
2025-12-01,5,1144849.0,703.29,2354.0
2025-12-01,6,55183.0,323.02,195.0
2025-12-01,7,288329.0,385.5,551.0
2026-01-01,1,139996.0,333.14,1119.0
2026-01-01,2,78202.0,595.24,432.0
2026-01-01,3,29280.0,748.14,430.0
2026-01-01,4,20793.0,223.9,264.0
2026-01-01,5,1146712.0,729.43,3195.0
2026-01-01,6,55215.0,335.64,443.0
2026-01-01,7,288411.0,400.1,1149.0
2026-02-01,1,140461.0,333.38,862.0
2026-02-01,2,77824.0,595.73,343.0
2026-02-01,3,28415.0,744.2,838.0
2026-02-01,4,21300.0,224.58,220.0
2026-02-01,5,1142764.0,729.9,2822.0
2026-02-01,6,54703.0,336.23,422.0
2026-02-01,7,286366.0,400.43,1231.0
2026-03-01,1,140406.0,333.52,1147.0
2026-03-01,2,77664.0,596.01,436.0
2026-03-01,3,27703.0,741.64,636.0
2026-03-01,4,21494.0,224.58,250.0
2026-03-01,5,1144085.0,730.41,3639.0
2026-03-01,6,54814.0,336.53,574.0
2026-03-01,7,286547.0,400.34,1528.0
